bibtex_key,title,authors,institutions,year,journal,publisher,keywords,bibtex_file,pdf_file,has_pdf
dong2023multi,Multi-agent reinforcement learning for intelligent V2G integration in future transportation systems,"['Jiawei Dong', 'Abdulsalam Yassine', 'Andy Armitage', 'M Hossain']",[],2023,IEEE Transactions on Intelligent Transportation Systems,IEEE,['reinforcement learning'],/home/doyooni303/projects/technology-innovation/data/bibs/Multi-agent reinforcement learning for intelligent V2G integration in future transportation systems.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Multi-agent reinforcement learning for intelligent V2G integration in future transportation systems.pdf,True
zhang2024load,Load forecasting-based learning system for energy management with battery degradation estimation: A deep reinforcement learning approach,"['Hongtao Zhang', 'Guanglin Zhang', 'Mingbo Zhao', 'Yuping Liu']",[],2024,IEEE Transactions on Consumer Electronics,IEEE,"['reinforcement learning', 'energy management', 'battery']",/home/doyooni303/projects/technology-innovation/data/bibs/Load forecasting-based learning system for energy management with battery degradation estimation A deep reinforcement learning approach.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Load forecasting-based learning system for energy management with battery degradation estimation A deep reinforcement learning approach.pdf,True
li2019constrained,Constrained EV charging scheduling based on safe deep reinforcement learning,"['Hepeng Li', 'Zhiqiang Wan', 'Haibo He']",[],2019,IEEE Transactions on Smart Grid,IEEE,"['reinforcement learning', 'charging']",/home/doyooni303/projects/technology-innovation/data/bibs/Constrained EV charging scheduling based on safe deep reinforcement learning.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Constrained EV charging scheduling based on safe deep reinforcement learning.pdf,True
adamu2023artificial,Artificial intelligence-navigated development of high-performance electrochemical energy storage systems through feature engineering of multiple descriptor families of materials,"['Haruna Adamu', 'Sani Abba', 'Paul Anyin', 'Yusuf Sani', 'Mohammad Qamar']",[],2023,Energy Advances,Royal Society of Chemistry,['artificial intelligence'],/home/doyooni303/projects/technology-innovation/data/bibs/Artificial intelligence-navigated development of high-performance electrochemical energy storage systems through feature engineering of multiple descriptor families ….txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Artificial intelligence-navigated development of high-performance electrochemical energy storage systems through feature engineering of multiple descriptor families ….pdf,True
hu2019reinforcement,Reinforcement learning for hybrid and plug-in hybrid electric vehicle energy management: Recent advances and prospects,"['Xiaosong Hu', 'Teng Liu', 'Xuewei Qi', 'Matthew Barth']",[],2019,IEEE Industrial Electronics Magazine,IEEE,"['reinforcement learning', 'energy management', 'electric vehicle']",/home/doyooni303/projects/technology-innovation/data/bibs/Reinforcement learning for hybrid and plug-in hybrid electric vehicle energy management Recent advances and prospects.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Reinforcement learning for hybrid and plug-in hybrid electric vehicle energy management Recent advances and prospects.pdf,True
renata2021modeling,Modeling of electric vehicle charging energy consumption using machine learning,"['Dionysius Renata', 'Khotimatul Fauziah', 'Prasetyo Aji', 'Adisa Larasati', 'Hafsah Halidah', 'Dwidharma Tasurun', 'Yuli Astriani', 'others']",[],2021,,,"['charging', 'machine learning', 'electric vehicle']",/home/doyooni303/projects/technology-innovation/data/bibs/Modeling of electric vehicle charging energy consumption using machine learning.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Modeling of electric vehicle charging energy consumption using machine learning.pdf,True
tang2021performance,Performance analysis on liquid-cooled battery thermal management for electric vehicles based on machine learning,"['Xingwang Tang', 'Qin Guo', 'Ming Li', 'Changhua Wei', 'Zhiyao Pan', 'Yongqiang Wang']",[],2021,Journal of Power Sources,Elsevier,"['electric vehicle', 'machine learning', 'battery']",/home/doyooni303/projects/technology-innovation/data/bibs/Performance analysis on liquid-cooled battery thermal management for electric vehicles based on machine learning.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Performance analysis on liquid-cooled battery thermal management for electric vehicles based on machine learning.pdf,True
kim2024fast,Fast charging of lithium-ion batteries While accounting for degradation and cell-to-cell variability,"['Minsu Kim', 'Joachim Schaeffer', 'Marc Berliner', 'Berta Sagnier', 'Martin Bazant', 'Rolf Findeisen', 'Richard Braatz']",[],2024,Journal of The Electrochemical Society,IOP Publishing,"['charging', 'lithium-ion']",/home/doyooni303/projects/technology-innovation/data/bibs/Fast charging of lithium-ion batteries While accounting for degradation and cell-to-cell variability.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Fast charging of lithium-ion batteries While accounting for degradation and cell-to-cell variability.pdf,True
zhang2025coordinated,Coordinated Battery Charging and Swapping Scheduling of EVs Based on Multilevel Deep Reinforcement Learning for Urban Governance,"['Bo Zhang', 'Zhihua Chen', 'Linlin Zang', 'Peng Guo', 'Rui Miao']",[],2025,IEEE Transactions on Intelligent Transportation Systems,IEEE,"['reinforcement learning', 'charging', 'battery']",/home/doyooni303/projects/technology-innovation/data/bibs/Coordinated Battery Charging and Swapping Scheduling of EVs Based on Multilevel Deep Reinforcement Learning for Urban Governance.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Coordinated Battery Charging and Swapping Scheduling of EVs Based on Multilevel Deep Reinforcement Learning for Urban Governance.pdf,True
li2020efficient,An efficient reinforcement learning based charging data delivery scheme in VANET-enhanced smart grid,"['Guangyu Li', 'Chen Gong', 'Lin Zhao', 'Jinsong Wu', 'Lila Boukhatem']",[],2020,,,"['reinforcement learning', 'charging']",/home/doyooni303/projects/technology-innovation/data/bibs/An efficient reinforcement learning based charging data delivery scheme in VANET-enhanced smart grid.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/An efficient reinforcement learning based charging data delivery scheme in VANET-enhanced smart grid.pdf,True
aljaidi2022reinforcement,A reinforcement learning-based assignment scheme for evs to charging stations,"['Mohammad Aljaidi', 'Nauman Aslam', 'Xiaomin Chen', 'Omprakash Kaiwartya', 'Yousef Al-Gumaei', 'Muhammad Khalid']",[],2022,,,"['reinforcement learning', 'charging']",/home/doyooni303/projects/technology-innovation/data/bibs/A reinforcement learning-based assignment scheme for evs to charging stations.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/A reinforcement learning-based assignment scheme for evs to charging stations.pdf,True
vandael2015reinforcement,Reinforcement learning of heuristic EV fleet charging in a day-ahead electricity market,"['Stijn Vandael', 'Bert Claessens', 'Damien Ernst', 'Tom Holvoet', 'Geert Deconinck']",[],2015,IEEE Transactions on Smart Grid,IEEE,"['reinforcement learning', 'charging']",/home/doyooni303/projects/technology-innovation/data/bibs/Reinforcement learning of heuristic EV fleet charging in a day-ahead electricity market.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Reinforcement learning of heuristic EV fleet charging in a day-ahead electricity market.pdf,True
balakrishna2023novel,A novel ensembling of CNN-A-LSTM for IoT electric vehicle charging stations based on intrusion detection system,"['G Balakrishna', 'Aniruddh Kumar', 'Ammar Younas', 'NMG Kumar', 'Ravi Rastogi', 'others']",[],2023,,,"['cnn', 'iot', 'electric vehicle', 'charging', 'lstm']",/home/doyooni303/projects/technology-innovation/data/bibs/A novel ensembling of CNN-A-LSTM for IoT electric vehicle charging stations based on intrusion detection system.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/A novel ensembling of CNN-A-LSTM for IoT electric vehicle charging stations based on intrusion detection system.pdf,True
kashkooli2019application,Application of artificial intelligence to state-of-charge and state-of-health estimation of calendar-aged lithium-ion pouch cells,"['Ali Kashkooli', 'Hamed Fathiannasab', 'Zhiyu Mao', 'Zhongwei Chen']",[],2019,Journal of The Electrochemical Society,IOP Publishing,"['artificial intelligence', 'lithium-ion']",/home/doyooni303/projects/technology-innovation/data/bibs/Application of artificial intelligence to state-of-charge and state-of-health estimation of calendar-aged lithium-ion pouch cells.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Application of artificial intelligence to state-of-charge and state-of-health estimation of calendar-aged lithium-ion pouch cells.pdf,True
zhou2019blockchain,Blockchain and computational intelligence inspired incentive-compatible demand response in internet of electric vehicles,"['Zhenyu Zhou', 'Bingchen Wang', 'Yufei Guo', 'Yan Zhang']",[],2019,IEEE Transactions on Emerging Topics in Computational Intelligence,IEEE,"['blockchain', 'electric vehicle']",/home/doyooni303/projects/technology-innovation/data/bibs/Blockchain and computational intelligence inspired incentive-compatible demand response in internet of electric vehicles.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Blockchain and computational intelligence inspired incentive-compatible demand response in internet of electric vehicles.pdf,True
jayakumar2022machine,Machine Learning approach for Prediction of residual energy in batteries,"['T Jayakumar', 'Natesh Gowda', 'R Sujatha', 'Shankar Bhukya', 'G Padmapriya', 'S Radhika', 'V Mohanavel', 'M Sudhakar', 'Ravishankar Sathyamurthy']",[],2022,Energy Reports,Elsevier,['machine learning'],/home/doyooni303/projects/technology-innovation/data/bibs/Machine Learning approach for Prediction of residual energy in batteries.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Machine Learning approach for Prediction of residual energy in batteries.pdf,True
srivastava2021dong,From dong to orsted: A leading utility’s Green Energy Transition,['Shantanu Srivastava'],[],2021,Institute for Energy Economics and Financial Analysis,,[],/home/doyooni303/projects/technology-innovation/data/bibs/From dong to orsted_ A leading utility's Green Energy Transition.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/From dong to orsted_ A leading utility's Green Energy Transition.pdf,True
zheng2021intelligence,Intelligence-assisted predesign for the sustainable recycling of lithium-ion batteries and beyond,"['Mengting Zheng', 'Hengky Salim', 'Tiefeng Liu', 'Rodney Stewart', 'Jun Lu', 'Shanqing Zhang']",[],2021,Energy \& Environmental Science,Royal Society of Chemistry,['lithium-ion'],/home/doyooni303/projects/technology-innovation/data/bibs/Intelligence-assisted predesign for the sustainable recycling of lithium-ion batteries and beyond.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Intelligence-assisted predesign for the sustainable recycling of lithium-ion batteries and beyond.pdf,True
tittaferrante2021multiadvisor,Multiadvisor reinforcement learning for multiagent multiobjective smart home energy control,"['Andrew Tittaferrante', 'Abdulsalam Yassine']",[],2021,IEEE Transactions on Artificial Intelligence,IEEE,['reinforcement learning'],/home/doyooni303/projects/technology-innovation/data/bibs/Multiadvisor reinforcement learning for multiagent multiobjective smart home energy control.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Multiadvisor reinforcement learning for multiagent multiobjective smart home energy control.pdf,True
douaidi2023predicting,Predicting electric vehicle charging stations occupancy: a federated deep learning framework,"['Lydia Douaidi', 'Sidi-Mohammed Senouci', 'Ines El Korbi', 'Fouzi Harrou']",[],2023,,,"['deep learning', 'charging', 'electric vehicle']",/home/doyooni303/projects/technology-innovation/data/bibs/Predicting electric vehicle charging stations occupancy a federated deep learning framework.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Predicting electric vehicle charging stations occupancy a federated deep learning framework.pdf,True
lu2023novel,A novel disassembly process of end-of-life lithium-ion batteries enhanced by online sensing and machine learning techniques,"['Yingqi Lu', 'Maede Maftouni', 'Tairan Yang', 'Panni Zheng', 'David Young', 'Zhenyu Kong', 'Zheng Li']",[],2023,Journal of intelligent manufacturing,Springer,"['lithium-ion', 'machine learning']",/home/doyooni303/projects/technology-innovation/data/bibs/A novel disassembly process of end-of-life lithium-ion batteries enhanced by online sensing and machine learning techniques.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/A novel disassembly process of end-of-life lithium-ion batteries enhanced by online sensing and machine learning techniques.pdf,True
wang2022deep,Deep reinforcement learning based energy management strategy for fuel cell/battery/supercapacitor powered electric vehicle,"['Jie Wang', 'Jianhao Zhou', 'Wanzhong Zhao']",[],2022,Green Energy and Intelligent Transportation,Elsevier,"['reinforcement learning', 'energy management', 'electric vehicle', 'battery']",/home/doyooni303/projects/technology-innovation/data/bibs/Deep reinforcement learning based energy management strategy for fuel cell_battery_supercapacitor powered electric vehicle.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Deep reinforcement learning based energy management strategy for fuel cell_battery_supercapacitor powered electric vehicle.pdf,True
zhong2024deep,Deep learning of experimental electrochemistry for battery cathodes across diverse compositions,"['Peichen Zhong', 'Bowen Deng', 'Tanjin He', 'Zhengyan Lun', 'Gerbrand Ceder']",[],2024,Joule,Elsevier,"['deep learning', 'battery']",/home/doyooni303/projects/technology-innovation/data/bibs/Deep learning of experimental electrochemistry for battery cathodes across diverse compositions.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Deep learning of experimental electrochemistry for battery cathodes across diverse compositions.pdf,True
xi2020multi,A multi-step unified reinforcement learning method for automatic generation control in multi-area interconnected power grid,"['Lei Xi', 'Lipeng Zhou', 'Yanchun Xu', 'Xi Chen']",[],2020,IEEE Transactions on Sustainable Energy,IEEE,['reinforcement learning'],/home/doyooni303/projects/technology-innovation/data/bibs/A multi-step unified reinforcement learning method for automatic generation control in multi-area interconnected power grid.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/A multi-step unified reinforcement learning method for automatic generation control in multi-area interconnected power grid.pdf,True
akash2023quantum,Quantum Annealing-Based Machine Learning for Battery Health Monitoring Robust to Adversarial Attacks,"['Alve Akash', 'Amey Khot', 'Taesic Kim']",[],2023,,,"['machine learning', 'battery']",/home/doyooni303/projects/technology-innovation/data/bibs/Quantum Annealing-Based Machine Learning for Battery Health Monitoring Robust to Adversarial Attacks.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Quantum Annealing-Based Machine Learning for Battery Health Monitoring Robust to Adversarial Attacks.pdf,True
aladdin2020marla,MARLA-SG: Multi-agent reinforcement learning algorithm for efficient demand response in smart grid,"['Sally Aladdin', 'Samah El-Tantawy', 'Mostafa Fouda', 'Adly Eldien']",[],2020,IEEE access,IEEE,['reinforcement learning'],/home/doyooni303/projects/technology-innovation/data/bibs/MARLA-SG Multi-agent reinforcement learning algorithm for efficient demand response in smart grid.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/MARLA-SG Multi-agent reinforcement learning algorithm for efficient demand response in smart grid.pdf,True
zhou2024machine,Machine learning models accelerate deep eutectic solvent discovery for the recycling of lithium-ion battery cathodes,"['Fengyi Zhou', 'Dingyi Shi', 'Wenbo Mu', 'Shao Wang', 'Zeyu Wang', 'Chenyang Wei', 'Ruiqi Li', 'Tiancheng Mu']",[],2024,Green Chemistry,Royal Society of Chemistry,"['lithium-ion', 'machine learning', 'battery']",/home/doyooni303/projects/technology-innovation/data/bibs/Machine learning models accelerate deep eutectic solvent discovery for the recycling of lithium-ion battery cathodes.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Machine learning models accelerate deep eutectic solvent discovery for the recycling of lithium-ion battery cathodes.pdf,True
cao2021smart,Smart online charging algorithm for electric vehicles via customized actor--critic learning,"['Yongsheng Cao', 'Hao Wang', 'Demin Li', 'Guanglin Zhang']",[],2021,IEEE Internet of Things Journal,IEEE,"['charging', 'electric vehicle']",/home/doyooni303/projects/technology-innovation/data/bibs/Smart online charging algorithm for electric vehicles via customized actor–critic learning.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Smart online charging algorithm for electric vehicles via customized actor–critic learning.pdf,True
arul2023energy,Energy management in electric vehicle using machine learning,"['TG Arul', 'K Kumar', 'Usman Mohideen', 'JAM Rexie', 'L Chitra']",[],2023,,,"['energy management', 'machine learning', 'electric vehicle']",/home/doyooni303/projects/technology-innovation/data/bibs/Energy management in electric vehicle using machine learning.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Energy management in electric vehicle using machine learning.pdf,True
zhang2023integrated,Integrated thermal and energy management of connected hybrid electric vehicles using deep reinforcement learning,"['Hao Zhang', 'Boli Chen', 'Nuo Lei', 'Bingbing Li', 'Rulong Li', 'Zhi Wang']",[],2023,IEEE Transactions on Transportation Electrification,IEEE,"['reinforcement learning', 'energy management', 'electric vehicle']",/home/doyooni303/projects/technology-innovation/data/bibs/Integrated thermal and energy management of connected hybrid electric vehicles using deep reinforcement learning.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Integrated thermal and energy management of connected hybrid electric vehicles using deep reinforcement learning.pdf,True
chaoui2018deep,Deep reinforcement learning energy management system for multiple battery based electric vehicles,"['Hicham Chaoui', 'Hamid Gualous', 'Loic Boulon', 'Sousso Kelouwani']",[],2018,,,"['reinforcement learning', 'energy management', 'electric vehicle', 'battery']",/home/doyooni303/projects/technology-innovation/data/bibs/Deep reinforcement learning energy management system for multiple battery based electric vehicles.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Deep reinforcement learning energy management system for multiple battery based electric vehicles.pdf,True
gorostiza2020deep,Deep reinforcement learning-based controller for SOC management of multi-electrical energy storage system,"['Francisco Gorostiza', 'Francisco Gonzalez-Longatt']",[],2020,IEEE Transactions on Smart Grid,IEEE,['reinforcement learning'],/home/doyooni303/projects/technology-innovation/data/bibs/Deep reinforcement learning-based controller for SOC management of multi-electrical energy storage system.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Deep reinforcement learning-based controller for SOC management of multi-electrical energy storage system.pdf,True
wei2023deep,Deep reinforcement learning for real-time energy management in smart home,"['Guixi Wei', 'Ming Chi', 'Zhi-Wei Liu', 'Mingfeng Ge', 'Chaojie Li', 'Xianggang Liu']",[],2023,IEEE Systems Journal,IEEE,"['reinforcement learning', 'energy management']",/home/doyooni303/projects/technology-innovation/data/bibs/Deep reinforcement learning for real-time energy management in smart home.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Deep reinforcement learning for real-time energy management in smart home.pdf,True
haque2018deep,Deep learning based micro-grid fault detection and classification in future smart vehicle,"['Moinul Haque', 'Mohammad Shaheed', 'Seungdeog Choi']",[],2018,,,['deep learning'],/home/doyooni303/projects/technology-innovation/data/bibs/Deep learning based micro-grid fault detection and classification in future smart vehicle.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Deep learning based micro-grid fault detection and classification in future smart vehicle.pdf,True
el2025enhancing,Enhancing EV Charging Station Integration: A Hybrid ARIMA-LSTM Forecasting and Optimization Framework,"['Magda El-Afifi', 'Abdelfattah Eladl', 'Bishoy Sedhom', 'Mohamed Hassan']",[],2025,IEEE Transactions on Industry Applications,IEEE,"['charging', 'optimization', 'lstm']",/home/doyooni303/projects/technology-innovation/data/bibs/Enhancing EV Charging Station Integration A Hybrid ARIMA-LSTM Forecasting and Optimization Framework.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Enhancing EV Charging Station Integration A Hybrid ARIMA-LSTM Forecasting and Optimization Framework.pdf,True
faraji2022quantifying,Quantifying key factors for optimised manufacturing of Li-ion battery anode and cathode via artificial intelligence,"['Mona Faraji Niri', 'Kailong Liu', 'Geanina Apachitei', 'Michael Lain', 'Widanalage Widanage', 'James Marco']",[],2022,Energy and AI,Elsevier,"['artificial intelligence', 'battery']",/home/doyooni303/projects/technology-innovation/data/bibs/quantifying-key-factors-optimised-manufacturing-Li-ion-battery-anode-cathode-via-artificial-intelligence-2021.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/quantifying-key-factors-optimised-manufacturing-Li-ion-battery-anode-cathode-via-artificial-intelligence-2021.pdf,True
gao2020deep,Deep reinforcement learning based optimal schedule for a battery swapping station considering uncertainties,"['Yuan Gao', 'Jiajun Yang', 'Ming Yang', 'Zhengshuo Li']",[],2020,IEEE Transactions on Industry Applications,IEEE,"['reinforcement learning', 'battery']",/home/doyooni303/projects/technology-innovation/data/bibs/Deep reinforcement learning based optimal schedule for a battery swapping station considering uncertainties.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Deep reinforcement learning based optimal schedule for a battery swapping station considering uncertainties.pdf,True
sial2024enhanced,Enhanced supercapacitive performance of lead vanadate hybrid architect on nickel foam with machine learning-driven capacitance prediction,"['Qadeer Sial', 'Usman Safder', 'Rana Ali', 'Shahid Iqbal', 'Le Duy', 'Bruno Pollet', 'Shankara Kalanur', 'Hyungtak Seo']",[],2024,Journal of Power Sources,Elsevier,['machine learning'],/home/doyooni303/projects/technology-innovation/data/bibs/Enhanced supercapacitive performance of lead vanadate hybrid architect on nickel foam with machine learning-driven capacitance prediction.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Enhanced supercapacitive performance of lead vanadate hybrid architect on nickel foam with machine learning-driven capacitance prediction.pdf,True
tao2021human,A human-machine reinforcement learning method for cooperative energy management,"['Yuechuan Tao', 'Jing Qiu', 'Shuying Lai', 'Xian Zhang', 'Yunqi Wang', 'Guibin Wang']",[],2021,IEEE Transactions on Industrial Informatics,IEEE,"['reinforcement learning', 'energy management']",/home/doyooni303/projects/technology-innovation/data/bibs/A human-machine reinforcement learning method for cooperative energy management.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/A human-machine reinforcement learning method for cooperative energy management.pdf,True
wang2020autonomous,Autonomous PEV charging scheduling using Dyna-Q reinforcement learning,"['Fan Wang', 'Jie Gao', 'Mushu Li', 'Lian Zhao']",[],2020,IEEE Transactions on Vehicular Technology,IEEE,"['reinforcement learning', 'charging']",/home/doyooni303/projects/technology-innovation/data/bibs/Autonomous PEV charging scheduling using Dyna-Q reinforcement learning.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Autonomous PEV charging scheduling using Dyna-Q reinforcement learning.pdf,True
surendar2021iot,An IOT-based battery surveillance system for E-vehicles,"['M Surendar', 'P Pradeepa']",[],2021,,,"['iot', 'battery']",/home/doyooni303/projects/technology-innovation/data/bibs/An IOT-based battery surveillance system for E-vehicles.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/An IOT-based battery surveillance system for E-vehicles.pdf,True
chen2008intelligent,Intelligent vehicle power management using machine learning and fuzzy logic,"['ZhiHang Chen', 'M Masrur', 'Yi Murphey']",[],2008,,,['machine learning'],/home/doyooni303/projects/technology-innovation/data/bibs/Intelligent vehicle power management using machine learning and fuzzy logic.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Intelligent vehicle power management using machine learning and fuzzy logic.pdf,True
chen2020new,A New Calibration Approach for Charging Facilities for Electric Vehicles via Machine Learning,"['Shaohui Chen', 'Di Zhou', 'Juntao Ye', 'Wenbin Zheng', 'Ping Fu']",[],2020,,,"['charging', 'machine learning', 'electric vehicle']",/home/doyooni303/projects/technology-innovation/data/bibs/A New Calibration Approach for Charging Facilities for Electric Vehicles via Machine Learning.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/A New Calibration Approach for Charging Facilities for Electric Vehicles via Machine Learning.pdf,True
