bibtex_key,title,authors,institutions,year,journal,publisher,keywords,bibtex_file,pdf_file,has_pdf,bibtex_keywords,pdf_keywords,abstract,keyword_sources,total_keyword_count,bibtex_keyword_count,pdf_keyword_count,has_abstract
dong2023multi,Multi-agent reinforcement learning for intelligent V2G integration in future transportation systems,Jiawei Dong; Abdulsalam Yassine; Andy Armitage; M Hossain,,2023,IEEE Transactions on Intelligent Transportation Systems,IEEE,agent; agents; artificial intelligence; discharging; electric vehicle; energy; energy management; evs; federated learning; grid; learning; load; model; network; neural network; optimization; peak; peak load; process; reinforcement learning; shaving; smart grid; soc; v2g; vehicle-to-grid; work,/home/doyooni303/projects/technology-innovation/data/bibs/Multi-agent reinforcement learning for intelligent V2G integration in future transportation systems.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Multi-agent reinforcement learning for intelligent V2G integration in future transportation systems.pdf,True,reinforcement learning,soc; neural network; federated learning; artificial intelligence; energy management; smart grid; electric vehicle; v2g; reinforcement learning; vehicle-to-grid; optimization; evs; peak; grid; model; load; agent; learning; agents; discharging; peak load; energy; process; network; shaving; work,,bibtex; pdf,26,1,26,False
zhang2024load,Load forecasting-based learning system for energy management with battery degradation estimation: A deep reinforcement learning approach,Hongtao Zhang; Guanglin Zhang; Mingbo Zhao; Yuping Liu,,2024,IEEE Transactions on Consumer Electronics,IEEE,artificial intelligence; battery; battery capacity; battery degradation; cost; degradation; demand; energy; energy management; energy storage; esm; ess; fast charging; grid; lithium-ion battery; model; neural network; optimization; problem; proposed; reinforcement learning; renewable; renewable energy; smart grid; soc; state of charge; storage; time,/home/doyooni303/projects/technology-innovation/data/bibs/Load forecasting-based learning system for energy management with battery degradation estimation A deep reinforcement learning approach.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Load forecasting-based learning system for energy management with battery degradation estimation A deep reinforcement learning approach.pdf,True,battery; energy management; reinforcement learning,soc; battery capacity; neural network; artificial intelligence; fast charging; energy management; lithium-ion battery; battery degradation; smart grid; renewable energy; energy storage; reinforcement learning; state of charge; optimization; energy; battery; degradation; cost; esm; problem; model; renewable; grid; storage; demand; ess; time; proposed,,bibtex; pdf,28,3,28,False
li2019constrained,Constrained EV charging scheduling based on safe deep reinforcement learning,Hepeng Li; Zhiqiang Wan; Haibo He,,2019,IEEE Transactions on Smart Grid,IEEE,charging; charging discharging; cid; cid cid; cmdp; constrained; constraint; discharging; electricity; energy; energy storage; function; neural network; optimization; price; proposed; reinforcement learning; scheduling; time,/home/doyooni303/projects/technology-innovation/data/bibs/Constrained EV charging scheduling based on safe deep reinforcement learning.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Constrained EV charging scheduling based on safe deep reinforcement learning.pdf,True,charging; reinforcement learning,neural network; energy storage; reinforcement learning; optimization; cid; cid cid; charging; discharging; cmdp; proposed; time; electricity; price; constraint; constrained; energy; charging discharging; scheduling; function,,bibtex; pdf,19,2,19,False
adamu2023artificial,Artificial intelligence-navigated development of high-performance electrochemical energy storage systems through feature engineering of multiple descriptor families of materials,Haruna Adamu; Sani Abba; Paul Anyin; Yusuf Sani; Mohammad Qamar,,2023,Energy Advances,Royal Society of Chemistry,artificial intelligence; data; development; electrochemical; electrochemical energy; electrolyte; energy; energy storage; feature; high; however; materials; neural network; performance; renewable; renewable energy; soc; storage; therefore; thus,/home/doyooni303/projects/technology-innovation/data/bibs/Artificial intelligence-navigated development of high-performance electrochemical energy storage systems through feature engineering of multiple descriptor families ….txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Artificial intelligence-navigated development of high-performance electrochemical energy storage systems through feature engineering of multiple descriptor families ….pdf,True,artificial intelligence,soc; neural network; artificial intelligence; renewable energy; energy storage; electrolyte; energy; storage; electrochemical; electrochemical energy; performance; development; high; therefore; data; materials; renewable; feature; thus; however,,bibtex; pdf,20,1,20,False
hu2019reinforcement,Reinforcement learning for hybrid and plug-in hybrid electric vehicle energy management: Recent advances and prospects,Xiaosong Hu; Teng Liu; Xuewei Qi; Matthew Barth,,2019,IEEE Industrial Electronics Magazine,IEEE,actions; algorithms; artificial intelligence; battery; control; electric vehicle; energy; energy management; fuel; learning; management; model; optimization; phev; phevs; plug-in hybrid; power; problem; reinforcement learning; soc; soh; state; state of charge; state of health,/home/doyooni303/projects/technology-innovation/data/bibs/Reinforcement learning for hybrid and plug-in hybrid electric vehicle energy management Recent advances and prospects.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Reinforcement learning for hybrid and plug-in hybrid electric vehicle energy management Recent advances and prospects.pdf,True,electric vehicle; energy management; reinforcement learning,soc; artificial intelligence; energy management; electric vehicle; plug-in hybrid; reinforcement learning; phev; soh; state of health; state of charge; optimization; energy; management; control; power; state; problem; model; learning; algorithms; fuel; battery; actions; phevs,,bibtex; pdf,24,3,24,False
renata2021modeling,Modeling of electric vehicle charging energy consumption using machine learning,Dionysius Renata; Khotimatul Fauziah; Prasetyo Aji; Adisa Larasati; Hafsah Halidah; Dwidharma Tasurun; Yuli Astriani; others,,2021,,,artificial intelligence; bppt; central; charging; charging station; consumption; data; electric; electric car; electric vehicle; energy; energy consumption; ensemble learning; evcs; historical; indonesia; load; machine learning; neural network; soc; sustainability; svm; used; weather,/home/doyooni303/projects/technology-innovation/data/bibs/Modeling of electric vehicle charging energy consumption using machine learning.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Modeling of electric vehicle charging energy consumption using machine learning.pdf,True,charging; electric vehicle; machine learning,sustainability; soc; neural network; electric car; artificial intelligence; electric vehicle; charging station; machine learning; ensemble learning; charging; data; energy; consumption; bppt; energy consumption; indonesia; evcs; historical; weather; used; load; svm; electric; central,,bibtex; pdf,24,3,24,False
tang2021performance,Performance analysis on liquid-cooled battery thermal management for electric vehicles based on machine learning,Xingwang Tang; Qin Guo; Ming Li; Changhua Wei; Zhiyao Pan; Yongqiang Wang,,2021,Journal of Power Sources,Elsevier,air; artificial intelligence; battery; battery thermal management; btms; cooled; cooled btms; cooling; electric vehicle; heat; hpacs; in this paper; liquid; liquid cooled; machine learning; model; optimization; performance; svr; temperature; the coupling system of liquid-cooled battery thermal management system (btms) and heat pump; thermal,/home/doyooni303/projects/technology-innovation/data/bibs/Performance analysis on liquid-cooled battery thermal management for electric vehicles based on machine learning.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Performance analysis on liquid-cooled battery thermal management for electric vehicles based on machine learning.pdf,True,battery; electric vehicle; machine learning,in this paper; the coupling system of liquid-cooled battery thermal management system (btms) and heat pump; artificial intelligence; electric vehicle; machine learning; battery thermal management; optimization; liquid; btms; cooling; cooled; battery; liquid cooled; cooled btms; heat; temperature; model; air; thermal; hpacs; performance; svr,,bibtex; pdf,22,3,22,False
kim2024fast,Fast charging of lithium-ion batteries While accounting for degradation and cell-to-cell variability,Minsu Kim; Joachim Schaeffer; Marc Berliner; Berta Sagnier; Martin Bazant; Rolf Findeisen; Richard Braatz,,2024,Journal of The Electrochemical Society,IOP Publishing,anode; battery; battery capacity; battery degradation; battery management system; bms; calendering; cathode; cell; charging; degradation; distribution; eff; electrode; electrolyte; fast; fast charging; lithium; lithium iron phosphate; lithium-ion; machine learning; model; optimization; parameters; pce; pet; pet model; porous; separator; soc,/home/doyooni303/projects/technology-innovation/data/bibs/Fast charging of lithium-ion batteries While accounting for degradation and cell-to-cell variability.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Fast charging of lithium-ion batteries While accounting for degradation and cell-to-cell variability.pdf,True,lithium-ion; charging,lithium iron phosphate; bms; soc; battery capacity; battery management system; fast charging; battery degradation; cathode; electrolyte; machine learning; calendering; optimization; anode; separator; electrode; charging; model; degradation; battery; pet; fast; lithium; porous; pce; cell; distribution; eff; pet model; parameters,,bibtex; pdf,30,2,29,False
zhang2025coordinated,Coordinated Battery Charging and Swapping Scheduling of EVs Based on Multilevel Deep Reinforcement Learning for Urban Governance,Bo Zhang; Zhihua Chen; Linlin Zang; Peng Guo; Rui Miao,,2025,IEEE Transactions on Intelligent Transportation Systems,IEEE,action; battery; battery swapping; bcss; charging; charging station; charging swapping; coordinated; decision; deep learning; electric vehicle; environment; evs; learning; model; models; optimization; reinforcement learning; scheduling; smart grid; soc; swapping; time,/home/doyooni303/projects/technology-innovation/data/bibs/Coordinated Battery Charging and Swapping Scheduling of EVs Based on Multilevel Deep Reinforcement Learning for Urban Governance.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Coordinated Battery Charging and Swapping Scheduling of EVs Based on Multilevel Deep Reinforcement Learning for Urban Governance.pdf,True,charging; battery; reinforcement learning,soc; smart grid; battery swapping; electric vehicle; charging station; reinforcement learning; deep learning; optimization; charging; evs; swapping; scheduling; environment; model; charging swapping; bcss; action; time; coordinated; battery; decision; models; learning,,bibtex; pdf,23,3,23,False
li2020efficient,An efficient reinforcement learning based charging data delivery scheme in VANET-enhanced smart grid,Guangyu Li; Chen Gong; Lin Zhao; Jinsong Wu; Lila Boukhatem,,2020,,,artificial intelligence; charging; communication; connectivity; data; delivery; evs; information; local; locations; mec; mobile; navigation; optimization; reinforcement learning; smart grid; soc; state of charge; stopping; two; vanets,/home/doyooni303/projects/technology-innovation/data/bibs/An efficient reinforcement learning based charging data delivery scheme in VANET-enhanced smart grid.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/An efficient reinforcement learning based charging data delivery scheme in VANET-enhanced smart grid.pdf,True,charging; reinforcement learning,soc; artificial intelligence; smart grid; reinforcement learning; state of charge; optimization; charging; communication; data; evs; information; mec; vanets; navigation; mobile; two; delivery; local; locations; stopping; connectivity,,bibtex; pdf,21,2,21,False
aljaidi2022reinforcement,A reinforcement learning-based assignment scheme for evs to charging stations,Mohammad Aljaidi; Nauman Aslam; Xiaomin Chen; Omprakash Kaiwartya; Yousef Al-Gumaei; Muhammad Khalid,,2022,,,artificial intelligence; assignment; centaur; charging; charging station; charging stations; cost; doi; electric vehicle; energy; evs; learning; machine learning; optimal; reading; reinforcement learning; scheme; soc; state of charge; stations; sustainability; time; transportation,/home/doyooni303/projects/technology-innovation/data/bibs/A reinforcement learning-based assignment scheme for evs to charging stations.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/A reinforcement learning-based assignment scheme for evs to charging stations.pdf,True,charging; reinforcement learning,sustainability; soc; artificial intelligence; electric vehicle; charging station; reinforcement learning; machine learning; state of charge; charging; evs; learning; optimal; cost; scheme; stations; energy; charging stations; assignment; transportation; time; doi; centaur; reading,,bibtex; pdf,23,2,23,False
vandael2015reinforcement,Reinforcement learning of heuristic EV fleet charging in a day-ahead electricity market,Stijn Vandael; Bert Claessens; Damien Ernst; Tom Holvoet; Geert Deconinck,,2015,IEEE Transactions on Smart Grid,IEEE,aggregator; ahead; belgium; charging; control; day; day ahead; electric vehicle; energy; evs; fleet; learning; market; period; power; prices; reinforcement learning; transformer; v2g; vehicle-to-grid,/home/doyooni303/projects/technology-innovation/data/bibs/Reinforcement learning of heuristic EV fleet charging in a day-ahead electricity market.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Reinforcement learning of heuristic EV fleet charging in a day-ahead electricity market.pdf,True,charging; reinforcement learning,electric vehicle; v2g; reinforcement learning; transformer; vehicle-to-grid; day; charging; market; ahead; day ahead; period; fleet; control; energy; evs; power; learning; prices; belgium; aggregator,,bibtex; pdf,20,2,20,False
balakrishna2023novel,A novel ensembling of CNN-A-LSTM for IoT electric vehicle charging stations based on intrusion detection system,G Balakrishna; Aniruddh Kumar; Ammar Younas; NMG Kumar; Ravi Rastogi; others,,2023,,,artificial intelligence; benefits; billing; charging; charging station; charging stations; cnn; convolutional neural network; data; deep learning; despite; detection; electric; electric car; electric vehicle; expanding; fast charging; feature; industry; internet of things; iot; layer; learning; lstm; machine learning; network; neural network; optimization; order; phev; proved; renewable energy; rnn; scheduling; stations; use; user; vehicle; wireless charging,/home/doyooni303/projects/technology-innovation/data/bibs/A novel ensembling of CNN-A-LSTM for IoT electric vehicle charging stations based on intrusion detection system.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/A novel ensembling of CNN-A-LSTM for IoT electric vehicle charging stations based on intrusion detection system.pdf,True,charging; cnn; iot; lstm; electric vehicle,neural network; internet of things; electric car; artificial intelligence; fast charging; iot; renewable energy; electric vehicle; charging station; lstm; deep learning; cnn; phev; wireless charging; machine learning; rnn; convolutional neural network; optimization; electric; vehicle; industry; expanding; scheduling; user; billing; despite; proved; benefits; charging; stations; data; network; charging stations; detection; feature; layer; use; learning; order,"– The electric vehicle industry is expanding scheduling, and user billing. Despite the proved benefits",bibtex; pdf,39,5,39,True
kashkooli2019application,Application of artificial intelligence to state-of-charge and state-of-health estimation of calendar-aged lithium-ion pouch cells,Ali Kashkooli; Hamed Fathiannasab; Zhiyu Mao; Zhongwei Chen,,2019,Journal of The Electrochemical Society,IOP Publishing,aging; anode; artificial; artificial intelligence; bms; calendar; cathode; cells; charge; charged; data; electrode; electrolyte; estimation; fully; ion; layer; lithium; lithium-ion; model; neural network; nmc; plug-in hybrid; soc; soh; state,/home/doyooni303/projects/technology-innovation/data/bibs/Application of artificial intelligence to state-of-charge and state-of-health estimation of calendar-aged lithium-ion pouch cells.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Application of artificial intelligence to state-of-charge and state-of-health estimation of calendar-aged lithium-ion pouch cells.pdf,True,lithium-ion; artificial intelligence,bms; soc; neural network; artificial intelligence; cathode; nmc; plug-in hybrid; electrolyte; soh; anode; electrode; calendar; fully; estimation; model; layer; state; cells; charge; lithium; charged; artificial; aging; ion; data,,bibtex; pdf,26,2,25,False
zhou2019blockchain,Blockchain and computational intelligence inspired incentive-compatible demand response in internet of electric vehicles,Zhenyu Zhou; Bingchen Wang; Yufei Guo; Yan Zhang,,2019,IEEE Transactions on Emerging Topics in Computational Intelligence,IEEE,battery capacity; blockchain; computational; computational intelligence; consortium; contract; discharging; electric vehicle; energy; energy management; energy storage; energy trading; evs; however; intelligence; ioev; machine learning; optimization; renewable energy; soc; trading; transaction; v2g,/home/doyooni303/projects/technology-innovation/data/bibs/Blockchain and computational intelligence inspired incentive-compatible demand response in internet of electric vehicles.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Blockchain and computational intelligence inspired incentive-compatible demand response in internet of electric vehicles.pdf,True,electric vehicle; blockchain,soc; battery capacity; energy management; renewable energy; electric vehicle; energy storage; v2g; machine learning; optimization; energy; trading; blockchain; ioev; energy trading; evs; discharging; computational; intelligence; transaction; computational intelligence; however; consortium; contract,,bibtex; pdf,23,2,23,False
jayakumar2022machine,Machine Learning approach for Prediction of residual energy in batteries,T Jayakumar; Natesh Gowda; R Sujatha; Shankar Bhukya; G Padmapriya; S Radhika; V Mohanavel; M Sudhakar; Ravishankar Sathyamurthy,,2022,Energy Reports,Elsevier,ability; accuracy; advance; artificial intelligence; batteries; battery; battery degradation; cathode; critical; data; deep learning; energy; energy storage; ensuring; india; learning; life; lithium-ion battery; lstm; machine; machine learning; machinelearning; model; neural network; predict; prediction; reliable; residual; residualenergy; rnn; rul; soc; soh; state of charge; supply; used,/home/doyooni303/projects/technology-innovation/data/bibs/Machine Learning approach for Prediction of residual energy in batteries.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Machine Learning approach for Prediction of residual energy in batteries.pdf,True,machine learning,residualenergy; batteries; machinelearning; prediction; soc; neural network; artificial intelligence; lithium-ion battery; battery degradation; cathode; lstm; energy storage; deep learning; machine learning; rnn; soh; state of charge; ability; predict; battery; residual; life; advance; critical; ensuring; reliable; supply; data; model; india; energy; learning; used; rul; machine; accuracy,The ability to predict battery residual life (RL) in advance is critical for ensuring a reliable supply of energy and the,bibtex; pdf,36,1,36,True
srivastava2021dong,From dong to orsted: A leading utility’s Green Energy Transition,Shantanu Srivastava,,2021,Institute for Energy Economics and Financial Analysis,,cid; company; electric vehicle; energy; energy transition; gas; journey; offshore; offshore wind; oil; orsted; renewable; renewable energy; report; soc; sustainability; transition; wind,/home/doyooni303/projects/technology-innovation/data/bibs/From dong to orsted_ A leading utility's Green Energy Transition.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/From dong to orsted_ A leading utility's Green Energy Transition.pdf,True,,sustainability; soc; renewable energy; electric vehicle; energy; orsted; transition; company; energy transition; journey; wind; renewable; report; offshore; gas; oil; cid; offshore wind,,pdf,18,0,18,False
zheng2021intelligence,Intelligence-assisted predesign for the sustainable recycling of lithium-ion batteries and beyond,Mengting Zheng; Hengky Salim; Tiefeng Liu; Rodney Stewart; Jun Lu; Shanqing Zhang,,2021,Energy \& Environmental Science,Royal Society of Chemistry,anode; artificial intelligence; batteries; battery; battery management system; battery manufacturing; battery production; cathode; cost; electroactive; electrode; electrolyte; energy storage; high; libs; lithium-ion; management; material; materials; optimization; path; processes; recycling; regeneration; smart grid; soc; soh; sorting; spent; sustainability,/home/doyooni303/projects/technology-innovation/data/bibs/Intelligence-assisted predesign for the sustainable recycling of lithium-ion batteries and beyond.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Intelligence-assisted predesign for the sustainable recycling of lithium-ion batteries and beyond.pdf,True,lithium-ion,sustainability; soc; battery production; battery management system; artificial intelligence; smart grid; cathode; energy storage; electrolyte; battery manufacturing; soh; optimization; anode; electrode; recycling; battery; materials; libs; batteries; regeneration; spent; high; path; sorting; electroactive; management; processes; cost; material,,bibtex; pdf,30,1,29,False
